tf,idf,entropy
5.15,204.0,5.9633796874163165
3.72,82.0,3.7867843647066652
4.91,76.0,1.544063712595137
4.93,98.0,3.0403291028732933
3.73,65.0,2.1073171586720543
4.29,71.0,2.9588021315244695
4.84,92.0,1.5069888759517427
3.0,101.0,3.30429427285697
3.73,86.0,2.2771786717323184
6.09,80.0,2.892664055072854
5.14,220.0,5.103539845005174
2.15,117.0,3.390108233224679
0.0,162.0,5.0821217831923855
4.26,129.0,1.701459380296686
3.97,70.0,3.0689168370962157
3.2,134.0,5.513873727087273
4.45,243.0,4.42392979910578
5.72,91.0,4.882032550888254
4.76,85.0,3.6534342821733694
4.63,166.0,5.009838892199586
4.63,294.0,5.738247339945528
4.13,23.0,0.3618481745452975
3.09,149.0,1.7933328185810382
0.0,76.0,3.191397343343046
4.32,194.0,6.236549071754322
5.07,138.0,4.144197919462948
4.99,134.0,3.7939658475129563
4.69,188.0,6.3332780794312145
4.83,100.0,3.670166277428583
2.17,68.0,1.9238412031409473
0.0,103.0,3.8777948270864675
3.72,165.0,4.0679855051094735
4.13,60.0,0.30059680363267516
4.94,98.0,2.031506265632825
4.09,84.0,2.0302932174164665
3.95,166.0,4.155740159736307
4.23,143.0,4.060378862121238
5.22,133.0,3.757133166871286
5.32,216.0,5.282133479903518
5.32,170.0,4.04350968880745
3.31,117.0,3.9958746759177908
4.18,95.0,4.626398863474224
0.0,236.0,5.956160062847246
3.02,149.0,3.2832164978550638
3.42,105.0,4.526548175485738
2.99,84.0,3.561717318880833
4.13,182.0,2.911265535211681
3.9,95.0,3.793520913027089
4.33,177.0,2.451633852070782
4.44,144.0,4.515042896192525
